# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.8125,4.2134,0.7375,0.7375
-0.8125,4.2004,0.7375,0.7375
-0.8125,4.1874,0.7375,0.7375
-0.8124,4.1744,0.7375,0.7375
-0.8124,4.1614,0.7375,0.7375
-0.8124,4.1484,0.7375,0.7375
-0.8124,4.1354,0.7375,0.7375
-0.8124,4.1224,0.7375,0.7375
-0.8125,4.1094,0.7375,0.7375
-0.8125,4.0964,0.7375,0.7375
-0.8125,4.0834,0.7375,0.7375
-0.8125,4.0703,0.7375,0.7375
-0.8125,4.0573,0.7375,0.7375
-0.8125,4.0443,0.7375,0.7375
-0.8126,4.0313,0.7375,0.7375
-0.8126,4.0183,0.7375,0.7375
-0.8126,4.0053,0.7375,0.7375
-0.8126,3.9923,0.7375,0.7375
-0.8126,3.9793,0.7375,0.7375
-0.8126,3.9663,0.7375,0.7375
-0.8126,3.9533,0.7375,0.7375
-0.8126,3.9403,0.7375,0.7375
-0.8126,3.9273,0.7375,0.7375
-0.8125,3.9143,0.7375,0.7375
-0.8125,3.9013,0.7375,0.7375
-0.8125,3.8884,0.7375,0.7375
-0.8124,3.8754,0.7375,0.7375
-0.8124,3.8624,0.7375,0.7375
-0.8124,3.8494,0.7375,0.7375
-0.8123,3.8364,0.7375,0.7375
-0.8123,3.8234,0.7375,0.7375
-0.8123,3.8104,0.7375,0.7375
-0.8123,3.7974,0.7375,0.7375
-0.8124,3.7844,0.7375,0.7375
-0.8124,3.7714,0.7375,0.7375
-0.8125,3.7584,0.7375,0.7375
-0.8125,3.7453,0.7375,0.7375
-0.8126,3.7323,0.7375,0.7375
-0.8128,3.7192,0.7375,0.7375
-0.8129,3.7062,0.7375,0.7375
-0.8131,3.6931,0.7375,0.7375
-0.8132,3.6801,0.7375,0.7375
-0.8117,3.6677,0.7375,0.7375
-0.8061,3.6569,0.7376,0.7376
-0.8003,3.6463,0.7375,0.7375
-0.7993,3.6340,0.7373,0.7373
-0.8003,3.6203,0.7377,0.7377
-0.8005,3.6070,0.7379,0.7379
-0.7973,3.5972,0.7349,0.7349
-0.7913,3.5902,0.7290,0.7290
-0.7874,3.5811,0.7250,0.7250
-0.7868,3.5688,0.7243,0.7243
-0.7872,3.5554,0.7246,0.7246
-0.7875,3.5421,0.7248,0.7248
-0.7876,3.5289,0.7249,0.7249
-0.7877,3.5158,0.7251,0.7251
-0.7877,3.5028,0.7252,0.7252
-0.7877,3.4898,0.7254,0.7254
-0.7876,3.4769,0.7257,0.7257
-0.7875,3.4640,0.7262,0.7262
